sender,receiver,date,subject,body,label,urls,data_id
synthetic@batch4.generated,target@example.com,2025-07-24,"Unlock Your Potential Now!  
Body:  
Claim your complimentary bottles today and transform your life - don’t delay!  

Elevate your confidence because...","Subject: Unlock Your Potential Now!  
Body:  
Claim your complimentary bottles today and transform your life - don’t delay!  

Elevate your confidence because...",1,,CEAS08_SYN4_EDGE_00284_REWRITE
synthetic@batch4.generated,target@example.com,2025-07-24,"Transform Your Appearance with Our Exclusive Offer

Body: Discover how you can boost your confidence and stand out wherever you go. Click here to explore a special opportunity that could change your life: http://www.sh...","Subject: Transform Your Appearance with Our Exclusive Offer

Body: Discover how you can boost your confidence and stand out wherever you go. Click here to explore a special opportunity that could change your life: http://www.sh...",1,,CEAS08_SYN4_EDGE_00225_REWRITE
synthetic@batch4.generated,target@example.com,2025-07-24,"Urgent: Your Custom Alert from CNN!

Body:

Hello!

You have a new alert from CNN!

**Alert Name:** Your Custom Alert

Click here to view: [maliciouslink.com]

Don't miss out on this important update!

Best,
CNN Team

**Warning:** This email may not be from a legitimate source. Always check links before clicking!","Subject: Urgent: Your Custom Alert from CNN!

Body:

Hello!

You have a new alert from CNN!

**Alert Name:** Your Custom Alert

Click here to view: [maliciouslink.com]

Don't miss out on this important update!

Best,
CNN Team

**Warning:** This email may not be from a legitimate source. Always check links before clicking!",1,,CEAS08_SYN4_EDGE_00494_REWRITE_WEAK
synthetic@batch4.generated,target@example.com,2025-07-24,"Important Notification: Your Personalized Update

Body:

Dear User,

We have an important update regarding your personalized notifications.

**Update Title:** Your Personalized Update  
**Content:** Exclusive content on trending topics, including a fascinating look at the latest celebrity news...

Stay tuned for more exciting alerts tailored just for you!

Best,  
Your Notification Team","Subject: Important Notification: Your Personalized Update

Body:

Dear User,

We have an important update regarding your personalized notifications.

**Update Title:** Your Personalized Update  
**Content:** Exclusive content on trending topics, including a fascinating look at the latest celebrity news...

Stay tuned for more exciting alerts tailored just for you!

Best,  
Your Notification Team",1,,CEAS08_SYN4_EDGE_00494_REWRITE
synthetic@batch4.generated,target@example.com,2025-07-24,"URGENT: You Have WON a Prize!

Body: Congratulations! You have won a special prize! Amazing results that will change your life! Click here to claim your reward: [malicious link]. Don’t miss out on this opportunity! 

(Note: This email is suspicious and should be ignored. Always verify before clicking any links.)","Subject: URGENT: You Have WON a Prize!

Body: Congratulations! You have won a special prize! Amazing results that will change your life! Click here to claim your reward: [malicious link]. Don’t miss out on this opportunity! 

(Note: This email is suspicious and should be ignored. Always verify before clicking any links.)",1,,CEAS08_SYN4_EDGE_00302_REWRITE_WEAK
synthetic@batch4.generated,target@example.com,2025-07-24,"Special Offer on Men's Surgery!

Body: Hello! 

Do you want to be the biggest guy wherever you go? Click here for a surprise: http://www.fake-link.com

Hurry, this offer won't last long!

Best,  
The Surgery Team","Subject: Special Offer on Men's Surgery!

Body: Hello! 

Do you want to be the biggest guy wherever you go? Click here for a surprise: http://www.fake-link.com

Hurry, this offer won't last long!

Best,  
The Surgery Team",1,,CEAS08_SYN4_EDGE_00225_REWRITE_WEAK
synthetic@batch4.generated,target@example.com,2025-07-24,"FREE Pills to Make You Bigger!

Body:  
Hi there!  
Do you want to be bigger? Get your FREE pills now!  
Click here to claim your bottles and change your life forever!  

Don’t miss this chance! Size is everything!  
Act fast!  

[Link to questionable website]","Subject: FREE Pills to Make You Bigger!

Body:  
Hi there!  
Do you want to be bigger? Get your FREE pills now!  
Click here to claim your bottles and change your life forever!  

Don’t miss this chance! Size is everything!  
Act fast!  

[Link to questionable website]",1,,CEAS08_SYN4_EDGE_00284_REWRITE_WEAK
synthetic@batch4.generated,target@example.com,2025-07-24,"Reconnect with Your Past - Act Now!

Body:  
Hey there,

Now is the perfect moment to step away from your daily grind and reflect on what truly matters in your life. 

Imagine rekindling a relationship that once meant the world to you. Your former partner might be reaching out soon, and you wouldn’t want to miss the chance to reconnect.

Take this time to consider your options. You deserve happiness and closure.

Best wishes,
[Your Name]","Subject: Reconnect with Your Past - Act Now!

Body:  
Hey there,

Now is the perfect moment to step away from your daily grind and reflect on what truly matters in your life. 

Imagine rekindling a relationship that once meant the world to you. Your former partner might be reaching out soon, and you wouldn’t want to miss the chance to reconnect.

Take this time to consider your options. You deserve happiness and closure.

Best wishes,
[Your Name]",1,,CEAS08_SYN4_EDGE_00942_REWRITE
synthetic@batch4.generated,target@example.com,2025-07-24,"URGENT: Your CNN Account Needs Attention!

Body: 
Hello,

We noticed suspicious activity on your CNN account. Please click the link below to verify your account information:

[CLICK HERE TO VERIFY YOUR ACCOUNT!](http://malicious-link.com)

Failure to do so may result in your account being locked. 

Thank you,
CNN Support Team

*This email was sent from an unmonitored address. Do not reply.*","Subject: URGENT: Your CNN Account Needs Attention!

Body: 
Hello,

We noticed suspicious activity on your CNN account. Please click the link below to verify your account information:

[CLICK HERE TO VERIFY YOUR ACCOUNT!](http://malicious-link.com)

Failure to do so may result in your account being locked. 

Thank you,
CNN Support Team

*This email was sent from an unmonitored address. Do not reply.*",1,,CEAS08_SYN4_EDGE_00899_REWRITE_WEAK
synthetic@batch4.generated,target@example.com,2025-07-24,"Exciting Opportunity Awaits You!  
Body: Great news! You’ve been selected for an exclusive offer! Enhance your experiences with our newly approved product, completely safe and effective. Don’t miss out on this chance to elevate your satisfaction...","Subject: Exciting Opportunity Awaits You!  
Body: Great news! You’ve been selected for an exclusive offer! Enhance your experiences with our newly approved product, completely safe and effective. Don’t miss out on this chance to elevate your satisfaction...",1,,CEAS08_SYN4_EDGE_00302_REWRITE
